member_1,member_2,phrase_case,frequency
saamisest,kasu,p,1
metallist,sildike,n,1
silmast,väitlus,n,1
soost,motoseltskond,p,1
unistusest,muusikateadlane,n,1
ärialast,toetus,p,1
talverallist,mudaralli,tr,1
meessoost,majahoidja,n,1
vinkelrauast,tugipost,p,1
ametist,loobumisesoov,el,1
hoolekogust,kool,g,1
sünnist,aasta,n,1
meesoost,pantvang,kom,1
merejalaväelasest,reserv,el,1
teatrist,lavastaja,n,1
jaagust,arhitekt,n,1
soost,kirjastaja,el,1
neegrinaisest,aberdiiniangus,g,1
nahast,klubikinnas,n,1
klaasist,koogivitriin,kom,1
kroonist,liige,g,1
kalakasvandusest,lahkumine,p,1
kahe-aastast,lõhe,n,1
rattapunktist,ratas,n,1
klaasvillast,barjäär,n,1
taanlasest,rallisõitja,g,1
jalakäijast,kord,p,1
august,kuju,g,1
arusaamast,kinkimine,el,1
kandist,tulija,n,1
liibanonlasest,autojuht,p,1
juudisoost,õppejõud,all,1
sõjast,toimetuskolleegium,g,1
epideemialaadsest,iseloom,el,1
kartongist,pakend,all,1
kartongist,pakend,n,1
tuletõrjujast,mälutreenija,tr,1
tekstiilist,prillitoos,g,1
meistriliigast,väljakukkumine,el,1
poolakast,konkurent,n,1
kutsest,loobumine,tr,1
tshernogoorlasest,viskekahur,n,1
rauast,tünn,p,1
vanatüdrukust,gümnaasiumiõpetaja,n,1
puidust,ehitusdetail,n,1
innovatsioonialast,koostöö,p,1
poolfinaalturniirist,osavõtja,n,1
kontsernist,õligrupp,n,1
paberist,pass,n,1
tagantuksest,sisenemine,ad,1
mittespetsialistist,arvutinäppija,all,1
tehnikaülikoolist,laen,tr,1
letargiast,ülesaamine,tr,1
naabrist,kuduja,n,1
hiinlasest,leivaisa,n,1
kunstist,kirjutamine,in,1
aastanäitusest,osavõtt,n,1
elevandiluust,plaadike,kom,1
elevandiluust,plaadike,n,1
seminarist,osa,g,1
kuningast,klient,n,1
vanglast,tagasipöörduja,p,1
kultuuritöötajast,vanur,p,1
kutsest,aeg,n,1
erikoolist,väljumine,p,1
rahast,õigusloome,tr,1
sissekandest,karistusregister,ill,1
ekskorvpallurist,spordiminister,n,1
maikuust,toetusprojekt,n,1
kliendist,abivajaja,g,1
toasoojast,ilmajäämine,n,1
kampaaniast,idee,el,1
ameeriklannast,lauljatar,ad,1
klaasist,ärikeskus,all,1
inimtegevusest,protsent,p,1
monoliitbetoonist,kõrgelamu,n,1
veerandtunnist,saatejupp,p,1
poolest,peadirektor,n,1
märtrist,enesetaputerrorist,all,1
tagantuksest,teler,n,1
tulutasemest,jõudmine,tr,1
rahvusest,elajas,n,1
rauast,kakuam,kom,1
autoroolist,joove,in,1
poolakast,firmaomanik,g,1
poolakast,firmaomanik,n,1
ülekaalust,teadmine,kom,1
materjalist,ehitis,p,1
minutist,närimine,el,1
rühmast,vorm,in,1
itaallannast,abitöötaja,g,1
demokraadist,peaminister,all,1
mädast,süsteem,el,1
britist,ülemus,ad,1
tollist,läbilaskmine,tr,1
kohustusest,vabastamine,p,1
lihtlugejast,kodusisustaja,all,1
sõelapõhjast,vormirõivas,tr,1
missioonitundest,annetaja,p,1
esiliigast,üleminekumäng,all,1
nullist,üleehitamine,tr,1
edasimüüjast,lahendus,g,1
keskerakondlasest,parteikaaslaneriigikogu,g,1
fraktsioonist,väljaastumine,tr,1
turvakodust,lahkumine,p,1
plastist,ujuvraam,n,1
poolakast,ilmarändur,n,1
meediamogulist,poliitik,n,1
eurooplasest,juht,g,1
liidust,liit,adt,1
eestlasest,preester,n,1
moldaavlasest,seersant,n,1
kaubast,puudus,n,1
sõidukist,väärtese,g,1
parklast,kaubanduskeskus,g,1
supervolinikust,majandusminister,n,1
reservfondist,õhkimistöö,tr,1
erakonnast,heitmine,el,1
õhust,loopimine,n,1
veebruarist,esindaja,n,1
täisterajahust,rukkileib,n,1
logopeedist,abikaasa,n,1
õppe-spordialast,teenus,p,1
mainest,vabanemine,n,1
ametiühingukoondisest,solidaarsus,n,1
majast,vabanemine,ter,1
allergiaalast,koolitus,p,1
komiteest,loobumine,ad,1
valuutakomiteest,loobumine,ad,1
õppurist,otsus,n,1
sundusest,vabanemine,p,1
pensionärist,kaitsealune,p,1
riigist,viimine,g,1
esinumbrist,sajandiksekund,p,1
sotsiaaldemokraadist,abilinnapea,n,1
ringist,väljajäämine,p,1
flirtimisest,kuningas,n,1
võrdõiguslasest,naine,n,1
meessoost,laps,all,1
naissoost,laps,all,1
seismevõistlejast,abikaasa,n,1
lapsepõlvest,ilmajäämine,n,1
stressist,taastumine,tr,1
hoonest,hoone,ter,1
katoliiklannast,naine,n,1
tavakurjategijast,auto,g,1
ilukirjanduslist,lugemisrõõm,g,1
talutarest,ekspressionism,g,1
kliinikust,äraviimine,p,1
tähest,asend,in,1
ungarlannast,kaunitar,n,1
tulevärgist,sündinu,es,1
vineerist,kalendritüdruk,p,1
šveitslasest,meeskonnakaaslane,n,1
aastast,auesimees,n,1
august,suundumine,n,1
sotsist,välisminister,n,1
palestiinlasest,ajalehekirjastaja,n,1
reisist,loobuja,g,1
varimajandusest,raha,g,1
novembrist,aukonsul,g,1
esmaspäevast,telejaam,g,1
maist,erinevus,n,1
eraisikust,autoostja,ad,1
argipäevast,põgenemine,g,1
külast,peksmisjälg,kom,1
kütuseeksperdist,professor,n,1
eraldistardist,jalgrattasport,in,1
joodikust,peaosa,in,1
itaallasest,klubikaaslane,n,1
ühisstardist,uisudistants,all,1
paberist,kaart,abl,1
plastmassist,värk,n,1
koolist,viilimine,n,1
asfaltbetoonist,kate,g,1
blondist,näitlejanna,el,1
põhjakihist,pääs,p,1
nais-soost,sarimõrvar,n,1
dekoratsioonist,vabanemine,tr,1
ajakirjanikust,megabeib,n,1
sarnast,suhtumine,p,1
kabalast,feng,n,1
vihmast,laev,g,1
rahvusesisest,vaen,g,1
perevägivallast,teatamine,n,1
valimisjaoskonnast,kavandatu,el,1
sotsiaalliberaalist,seim,g,1
kulupõhisest,mudelist,n,1
elukohajärgest,polikliinik,el,1
lihast,inimene,es,1
diagnoosist,teatamine,ad,1
põhitöökohast,muuseum,in,1
setust,abikaasa,g,1
heitlusest,poksiring,in,1
kalendrist,päev,g,1
limast,kagu,in,1
varast,jäämine,n,1
summast,komisjonitasu,tr,1
ühispangast,kaart,g,1
äriplaanist,kinnihaaraja,g,1
paadist,vesi,g,1
auahnusest,kannustatu,es,1
antiainest,meteoriit,n,1
käijast,enamik,ad,1
pöörast,müranivoo,n,1
otsaorgitipust,lakk,g,1
austraallannast,abikaasa,n,1
laupäevast,osa,n,1
huvist,kojuhelistamine,p,1
kellast,töötamine,n,1
liivaseljakust,allatulek,n,1
eestlasest,filmimees,n,1
kalurist,sõber,n,1
kuivseadusest,põikamine,tr,1
aastast,kuivseadus,n,1
tonnist,PET-pudel,el,1
viskooslõngast,pullover,kom,1
polüesterkangast,kostüüm,kom,1
satäänkangast,komplekt,p,1
raidkivist,sarkofaag,p,1
jaapanlasest,viiulisolist,n,1
antropoloogiast,loeng,in,1
autost,ilmajäämine,p,1
emaväljaandest,kaasavara,tr,1
hõbedast,käevõru,p,1
giidist,perenaine,n,1
klaasist,lava,g,1
pakkumisest,keeldumine,g,1
enamikust,kaup,el,1
tööst,loovus,kom,1
valitsusparteist,puhastamine,n,1
jaapanlasest,sushikokk,p,1
ooperist,üritus,n,1
elanikkonnast,kaitsekulutus,g,1
koostööst,keeldumine,p,1
küljest,rivikomandör,g,1
vajalikkusest,ajaloolane,n,1
numbrist,loobumine,ab,1
afgaanist,vangivalvur,p,1
iraaklasest,liige,n,1
immigrandist,lapsehoidja,ad,1
valitsusest,tervishoiuminister,n,1
kultuurist,laenamine,n,1
keedusoolast,toidumürgitus,g,1
ainest,ese,p,1
metallist,kera,n,1
inimühiskonnast,eraldatu,p,1
sääreluust,tükk,g,1
pajast,väljaõngitsemine,n,1
kirikust,peapiiskop,n,1
tavadiislist,aktsiis,g,1
päevast,judo,p,1
barokist,rahvusromantism,ter,1
binoklist,kallas,el,1
tänavast,üleminek,p,1
terasest,piirdekonstruktsioon,n,1
majast,kompleks,all,1
koolist,popitaja,all,1
ungarlasest,professor,abl,1
väljendamisest,koht,g,1
viiekümnemillimeetrist,miinipildujamiin,g,1
tatarlasest,tudeng,n,1
viletsusest,pääsemine,adt,1
maatükist,suurärimees,n,1
kaotajarollist,pääsemine,tr,1
venelasest,tüdruk,g,1
kaotusseisust,pääsemine,ad,1
diislikütusest,mootorikütus,es,1
lääne-tsoonist,osalus,ad,1
kesklinnast,läbisõit,n,1
hispaanlasest,kohtunik,all,1
koolitunnist,huviring,g,1
energiast,heitvesi,el,1
ränikristallist,kasutegur,kom,1
maasügavusest,päikesetõus,n,1
viitstardist,sõit,p,1
kanadalasest,piloot,n,1
taskurahast,kroon,p,1
paiknemisest,üleminek,n,1
psühhopaadist,maniakk,n,1
tunnist,põnevusfilm,p,1
skulptorist,abikaasa,ad,1
kindralist,dissident,tr,1
sööginarkomaanist,pereema,n,1
variisikust,ainuomanik,n,1
mördist,viimistluskiht,n,1
olümpiakoondisest,uurimine,g,1
sparringupartnerist,vend,g,1
epitsentrist,piirkond,in,1
papist,prill,n,1
elukohast,mitte-lahkumine,g,1
norralasest,komandör,g,1
hermeliinist,mantel,ad,1
venelasest,teenindaja,ad,1
sakslasest,esimees,g,1
ameeriklasest,muusik,g,1
neandertallasest,eurooplane,n,1
inimesest,austraallane,n,1
detsembrist,president,n,1
rauatöölisest,naaber,el,1
juudisoost,jurist,g,1
näljast,pääsemine,ad,1
eetikast,loom,kom,1
šveitslasest,fotograaf,n,1
plaatinast,etalon,n,1
turniirist,märts,in,1
poolakast,keemia,g,1
poroloonist,kaar,n,1
materjalist,külg,n,1
respublikaanist,saatejuht,all,1
vallavolikogust,luba,n,1
marmorist,pind,n,1
filmiklassikust,isa,n,1
suunast,lähenemine,ad,1
kaevust,sõitmine,n,1
mängust,kõrvaldamine,tr,1
mälust,informatsioon,g,1
mälust,ammutamine,ad,1
mälust,reprodutseerimine,ad,1
hülgeuurijast,abiline,g,1
tuusikust,äraütlemine,g,1
alumiiniumist,ese,p,1
pühvlist,grillipiduline,n,1
usbekist,turvamees,p,1
sametist,õhtukleit,n,1
demokraadist,president,tr,1
maailmast,osa,n,1
joodikust,tütar,n,1
valdusest,viimine,tr,1
issandast,ommas,p,1
mitteresidendist,isik,es,1
orrust,omma,g,1
sestsinnatsest,hädda,g,1
orrust,jure,g,1
plastmassist,PET-pudel,ill,1
landest,vara,g,1
kapsast,puuks,n,1
sotsiaalliberaalist,riigikogulane,g,1
koolist,puudumine,ter,1
rekordist,jagusaamine,n,1
soomlasest,kuulitõukeäss,n,1
spordijuhist,ärimees,n,1
käitumisest,lähenemine,tr,1
üksindustundest,vabanemine,tr,1
seljast,aitamine,g,1
koolist,väljalangenu,kom,1
lapsest,tulumaksusoodustus,n,1
000-ruutkilomeetrist,ala,n,1
miljonärist,juut,n,1
rahasüsteemist,loobumine,kom,1
suust,arvamus,p,1
abivallavanemast,jahimees,g,1
keskkonnast,lahkumine,p,1
jõuluvanast,bussijuht,g,1
päkapikust,konduktor,kom,1
keskkonnast,väljumine,p,1
kutseharidusest,lugu,n,1
isikupärast,suundumus,p,1
vineerist,värvitahvel,p,1
punakas-lillakast,spektriosa,el,1
emigrandist,keelejuht,g,1
kodust,väljaajamine,kom,1
tüvest,pir,n,1
süüst,juhtunu,in,1
maksumaksjast,tallinlane,g,1
ungarlasest,keelejuht,kom,1
algajast,kaaslane,n,1
pettumusest,toibumine,tr,1
transiidialast,koostöö,p,1
teisipäevast,tõus,p,1
siitilmast,teadmine,kom,1
majast,ületoomine,tr,1
nõlvast,ronimine,ad,1
matemaatikaõpetajast,õppealajuhataja,n,1
baaslaagrist,kilomeeter,n,1
rahvuskaaslasest,vaatlejaliige,n,1
juudist,rahamees,n,1
itaallasest,pantvang,g,1
muusikalist,kollektiiv,p,1
koolist,eemalehoidmine,p,1
fooliumist,võrkmaterjal,n,1
liinist,piletihind,g,1
alkoholist,süütevedelik,ter,1
internetist,tirimine,el,1
terasest,seadeldis,n,1
papist,supermodellinägu,kom,1
rauast,kapp,p,1
rahvusraamatukogust,inspireeritu,es,1
kulutamisest,jäänu,n,1
megasündmusest,osasaamine,g,1
moest,läinu,p,1
loost,nimekiri,g,1
veojõust,tagaratas,all,1
ühisjooksust,osavõtja,n,1
kantaadist,maa,n,1
muusikaprodutsendist,abikaasa,n,1
kaoselähedasest,olukord,el,1
soost,ülik,in,1
töökohast,teavitamine,all,1
plastikust,juhiluba,n,1
plastikust,juhiloakaart,g,1
väikeettevõtjast,turism,g,1
nöörist,hiigelaas,n,1
trossist,kinnihoidmine,ab,1
nöörist,kinnihoidmine,n,1
debatist,osavõtt,n,1
lapsest,tsirkus,in,1
maapinnast,suund,in,1
tinast,toru,n,1
polüetaanist,neegrikuju,n,1
sõjast,süttinu,es,1
kraanikausist,diivan,ter,1
rahvusest,naine,g,1
eel-arvest,riik,abl,1
laist,kotun,n,1
pensionärist,maa,g,1
prügitoojast,abi,in,1
ekspertiisist,haigla,in,1
võõramaalasest,leksikonilehitseja,n,1
mootorikütusest,eemaldamine,tr,1
vastasuunalist,sõit,p,1
martsipanist,kujuke,g,1
õlest,kujuke,g,1
rahvuslasest,surmaeelik,n,1
sisearhitektist,sõber,n,1
karrast,irdumine,in,1
maailmast,üleolija,n,1
keelust,loobumine,p,1
talvitajast,merepart,el,1
koolist,väljalangeja,ad,1
enamikust,eestlane,el,1
klaasist,hiigelriist,n,1
solvajast,vabanemine,n,1
kiusamisest,lahtisaamine,n,1
kivist,kaksikmaja,n,1
müügist,oksjon,ad,1
õpetajast,kool,in,1
koolist,küberruum,g,1
soost,õpilane,n,1
erastamisnimekirjast,väljavõtmine,g,1
analüütikust,prognoos,in,1
elektriküttest,loobumine,g,1
täissiidist,sall,n,1
metallist,vapike,n,1
prostitutsioonist,kasusaamine,g,1
kangast,särk,n,1
andurist,nähtus,n,1
tehnoloogiast,aeg,p,1
klaasist,silm,kom,1
muulasest,pätt,g,1
august,läbisõit,n,1
eestlasest,peadirektor,n,1
brasiillasest,sõitja,g,1
kaitsealliansist,jõud,tr,1
õppe-mak-sust,vabastamine,n,1
visiidist,loobumine,p,1
turvaametnikust,juht,g,1
käändest,kõnelemine,ad,1
pöörast,esinemine,p,1
vahkvihast,muusikaüldsus,p,1
spordist,kohvimaailm,g,1
nominatiivist,eristamine,p,1
lekseemist,vorm,n,1
lekseemist,emm,p,1
miniparadigmast,rääkimine,n,1
elukohast,peksmistunnus,kom,1
tiigist,surnukeha,n,1
alkoholisisaldusest,joogi,in,1
jopetaskust,suitsupakk,el,1
paekivist,rajamine,p,1
folklooriseminarist,osavõtja,n,1
perekonnast,sirgunu,es,1
viirusnakkusest,laastatu,es,1
tõusust,laekumine,n,1
faktuurist,liikumine,n,1
dollarist,loobumine,n,1
naftaparunist,vanaisa,n,1
novembrist,tõstmine,n,1
apellatiivist,homonüüm,kom,1
erastamisnimekirjast,väljajätmine,kom,1
turust,preemia,g,1
tammetõrust,pea,n,1
lätlusest,ärapöördumine,g,1
austusest,ruum,g,1
koidust,päikeseloojang,ter,1
korterist,lahtisaamine,tr,1
pitsist,laudlina,p,1
formatsioonist,üleminek,ad,1
eksistentsialistist,robot,n,1
teost,reisimine,tr,1
eestlasest,narkosmugeldaja,p,1
paberist,post,g,1
paberist,väljaanne,g,1
paberist,ajaleht,ad,1
korterist,veemõõtja,n,1
pronksist,kell,kom,1
lennujaamast,saabumine,p,1
välismaalasest,pallur,es,1
soomlannast,paariline,g,1
turismialast,areng,p,1
paberist,kuliss,kom,1
metallist,ilunurk,n,1
mineraalvillast,torukate,n,1
raudbetoonist,kiht,n,1
elust,olemine,p,1
inertsist,vabanemine,g,1
enamikust,parlamendiliige,el,1
turvalisusest,rääkimine,n,1
lastekoduelust,töötaja,n,1
süsinikkiust,pill,g,1
kodust,äravõtmine,g,1
perest,lahutamine,g,1
venelasest,valvur,n,1
puust,lett,n,1
pärnakast,kirjanik,n,1
eurooplasest,saarlane,n,1
paunverest,lahkumine,g,1
assambleest,osa,p,1
arstkonnasisesusest,rääkimine,n,1
isikunimest,lähtumine,n,1
palgast,haigekassa,el,1
vahiülemast,allohvitser,n,1
hollandlasest,humanitaartöötaja,n,1
eestlasest,rahuvalvaja,g,1
pühapäevahommikust,autoõnnetus,p,1
kujust,isen,n,1
tootest,nimetus,kom,1
uruguailasest,klubikaaslane,n,1
kuningannast,vanaema,kom,1
pruudist,ema,tr,1
lillest,palee,n,1
kellafanatist,omanik,n,1
sügisest,päev,ad,1
karjeristist,töönarkomaan,n,1
piletimüüjast,elektriraudtee,ad,1
aastakäibest,lõviosa,n,1
vanaprouast,piletöör,n,1
jumalast,osasaamine,g,1
naissoost,laps,n,1
kaitsest,läbinärimine,n,1
laenupaketist,kinnipidamine,g,1
õlitehasest,lahkumine,g,1
rapsist,diisliõli,g,1
veest,vein,g,1
dioksiinimürgistusest,kärn,in,1
kilpkonnakilbist,toode,p,1
elevandiluust,asi,n,1
kilpkonnakilbist,ese,n,1
antiloobivillast,toode,n,1
korallist,ese,n,1
krokodillinahast,asi,n,1
sisehoovistikust,struktuur,el,1
betoonist,kõrgpeenar,n,1
ameeriklasest,ametivend,n,1
pronksist,peakuju,g,1
neljatunnist,arutamine,p,1
osavõtjast,pool,n,1
sõnast,taganemine,p,1
tööst,treenerina-õpetaja,es,1
kirjast,autor,all,1
jaotamisest,polüseemia,tr,1
plahvatusest,teatamine,g,1
rootslasest,ründeäss,n,1
kaubamärgist,huvitatu,g,1
müümisest,huvitet,n,1
tümpsust,siiber,n,1
lisarahast,voodipäev,g,1
tsemendist,alusmüür,el,1
enamikust,kevadlill,el,1
festivalist,osavõtt,tr,1
agronoomist,abikaasa,n,1
rootslasest,mänedzher,n,1
peidikust,päevavalge,all,1
võidust,aumees,es,1
veenist,vereproov,g,1
ojamaast,heiteala,ad,1
filantroobist,finants,el,1
dendropargist,osa,n,1
erusõjaväelasest,hambaarst,n,1
eestlasest,tulevikulootus,n,1
taist,paber,n,1
kuriteost,mitteteatamine,es,1
ehmatusest,kurk,in,1
tallinlasest,disainer,n,1
meediamagnaadist,ekspeaminister,n,1
eratarbijast,autoomanik,all,1
pensionärist,asendaja,n,1
sundüürnikust,vanatädi,n,1
ärkamisajast,vabariik,g,1
beat'ist,roots,n,1
iseenesetarkusest,nokitsemine,n,1
lambist,tarkus,n,1
kohast,liikumine,g,1
olemasolust,situatsioon,in,1
valitsuskriisist,jagusaamine,tr,1
metallist,varras,n,1
kuuetunnist,otsimine,p,1
kasumist,moodustamine,p,1
kaheprotsendist,tõstmine,p,1
külast,tulistamine,p,1
sitsist,rõivas,p,1
nailonist,ujumisriie,n,1
kõrgusest,pronkskuju,el,1
oodatust,taastumine,el,1
filmist,film,g,1
lihast,seakasvataja,abl,1
kommunismist,demokraatia,all,1
kogust,säilitamine,tr,1
meediumist,film,p,1
kahjumist,enamik,g,1
järvest,korter,ill,1
joogiveest,pinnavesi,el,1
siirdehindadealast,regulatsioon,p,1
mitteresidendist,emaettevõtja,abl,1
mitteresidendist,emaettevõtja,all,1
kurjategijast,politseinik,all,1
sõbrannast,kahju,n,1
plastiliinist,kuju,p,1
osast,valguskoopia,n,1
naissoost,heroiinisõltlane,p,1
lehest,lugemine,el,1
despoodist,valitseja,n,1
neonatsist,pommimees,n,1
sajandist,keskpaik,ter,1
lääne-eurooplasest,nautleja,g,1
vahendist,võõrutamine,n,1
väliseestlasest,spetsialist,g,1
arhiivist,materjal,p,1
langusest,dollar,g,1
energiast,aku,g,1
pankrotiavaldusest,loobumine,n,1
turismifirmast,virutuur,n,1
ühetähenduslikkusest,esitus,n,1
portugallasest,puurivaht,n,1
fanatismist,edasirühkimine,g,1
piiripolitseinikust,lennureisija,n,1
ametiühinguliidrist,streigijuht,p,1
vääveldioksiidist,vabanemine,tr,1
asekantslerist,valitsus,p,1
toimetusest,kaastöö,g,1
tsiviilisikust,asekaitseminister,n,1
aknast,kukkumine,p,1
valuutakomiteest,loobumine,g,1
rahast,keeldumine,ad,1
tagasilöögist,väärtpaberitulu,in,1
süürlannast,olümpiavõitja,n,1
narvalasest,veokijuht,kom,1
itaallasest,tegevjuht,n,1
eeslinnast,pealinn,adt,1
hiinlasest,tsenter,n,1
loomahirmust,ülesaamine,n,1
filipiinlasest,kaksik,p,1
hispaanlannast,abikaasa,n,1
sarnasusest,esileedi,kom,1
probleemist,vabanemine,tr,1
lastesõimest,ülikool,ter,1
enesetõestusest,mudel,in,1
firmast,loobumine,ad,1
klubist,välismaa,all,1
naissoost,tippjuht,n,1
nälgimisest,loobunu,p,1
väimehest,kindralleitnant,n,1
energiast,lahtisaamine,el,1
aspektist,morfoloogiaproblemaatika,p,1
ekspordist,sõjalennuk,n,1
moodustamisest,videofilm,n,1
punkist,punkt,g,1
ametiautost,neljapäev,p,1
puust,torn,n,1
sügisest,hetk,g,1
eraisikust,ettevõtja,kom,1
teksist,arusaamine,n,1
apartheidist,jagusaamine,ad,1
krundist,äralõikamine,p,1
moslemist,mees,n,1
filipiinlasest,meeskonnaliige,p,1
heinakuhjast,nõel,g,1
mongoollasest,kunstimeister,n,1
punktist,ülesaamine,ad,1
oravast,jooksuratas,in,1
ajast,olemine,p,1
lepingust,keeldumine,tr,1
eestlasest,natsikurjategija,g,1
õppemaksust,loobumine,n,1
koolitusalast,alternatiiv,g,1
piirkonnast,rahandusminister,n,1
eriüksusest,alfa,n,1
naissoost,terrorist,n,1
klassist,summa,n,1
riigitöötajast,pereisa,n,1
ukrainlasest,kasuisa,n,1
kõrist,loputamine,tr,1
kioskist,väeosa,g,1
harjumusest,alluja,n,1
muusikast,osa,g,1
kunstist,juubelinäitus,n,1
vanast,kaardivägi,el,1
kivimiladestusest,filtreerimistoru,g,1
soomlasest,eriarst,n,1
rahvusest,sõjavang,n,1
rahvusest,elanikkond,n,1
metsavahist,mees,g,1
üliõpilasest,poeg,ad,1
riigiteenistujast,isa,g,1
firmast,mulje,p,1
erastamisfondist,dividend,g,1
puust,mängumaja,n,1
dolomiidist,uhmer,n,1
muusikalist,telefilm,p,1
liiklusregistrist,kustutamine,n,1
terminalist,väljasõit,ad,1
peedikasvatusest,nanotehnika,ter,1
poliitikast,elu,adt,1
metallist,aknaribi,n,1
soost,reisija,n,1
sakslasest,tohter,p,1
katastroofist,põgenemine,ad,1
töölesõidust,algus,kom,1
algusest,isetegemine,n,1
elust,ideaal,in,1
koormusest,tipptund,ad,1
papist,prominent,n,1
papist,vipp,p,1
kirjandusüldsusest,pühak,n,1
võrgust,tunnustamine,p,1
valdusest,väljanõudmine,p,1
kodanikust,pensionär,n,1
litist,aktsiaemissioon,g,1
eksimusest,saatja,g,1
ärist,sadamalinn,in,1
küsimusest,liige,g,1
uuendusest,loobumine,p,1
nõukogust,jäämine,kom,1
euroliidust,väljajääja,el,1
rahaliidust,väljajääja,p,1
piimarahast,mees,n,1
majandusseisust,juhtkond,ad,1
ülikonnast,käsitöö,es,1
oskustöölisest,treial,g,1
palgast,rääkimine,g,1
väravast,lastu,es,1
venelasest,kosmonaut,p,1
maailmast,sissetoomine,n,1
meessoost,meelitamine,tr,1
päästmisest,poliitika,g,1
soojast,suveõhtu,el,1
maksust,investeering,n,1
olemasolust,teavitamine,tr,1
varasemasest,tegevus,el,1
islamistist,valitsusjuht,n,1
miljonärist,luksusauto,g,1
margasest,läbimüük,el,1
maksumusest,pool,n,1
katuseservast,jääpurikas,n,1
tsentrist,koht,n,1
islamivõitlusest,loobumine,p,1
sekretärist,abikaasa,n,1
rahvusest,rezhissöör,g,1
kirjapostist,linn,in,1
lasteaiast,toomine,g,1
üürirahast,kohvik,g,1
pensionärist,staar,n,1
joodikust,põhulõug,n,1
vanajumalast,ajakirjanik,ter,1
turkmeenist,esindaja,g,1
jumalast,ilmutus,kom,1
lapsest,eemaldumine,tr,1
eestlasest,maailmakodanik,n,1
plekist,silt,n,1
eestlannast,kirjanik,all,1
dokumentatsioonist,valik,kom,1
elust,jutustamine,tr,1
teismist,naturalism,g,1
keskmängijast,abiline,n,1
kirurgist,linnavolinik,n,1
messingist,uksekäepide,n,1
uustulnukast,rivaal,kom,1
toodangust,osa,p,1
seansist,ravi,n,1
majast,küte,ab,1
energiast,soojuspump,kom,1
itaallasest,dirigent,n,1
tehnikakultuurist,osasaamine,n,1
rahvusest,mängujuht,adt,1
korvpallist,kirjutaja,n,1
pealinnast,väikelinn,in,1
ajalehepaberist,kett,n,1
soolataignast,pisikuju,n,1
puidust,kauss,n,1
ajaloost,kirjutaja,n,1
ajaloost,arusaam,n,1
näljast,leopard,p,1
ihast,ühinemistung,ter,1
enamikust,marksism,g,1
põllumaast,kirjanik,n,1
vallast,video,g,1
valgevenelasest,leegionär,p,1
maapõuest,võtmine,n,1
põllumajanduspoliitikast,huvitatu,all,1
linnapildist,kadumine,p,1
argpüksist,memmepojuke,p,1
aastast,maagaas,g,1
neegrist,kohtuminister,n,1
keskajast,valgustusaeg,ter,1
ülikoolist,magistritöö,g,1
ülikoolist,magistritöö,n,1
ülikoolist,balalaureusetöö,g,1
tehnikaülikoolist,võistlustöö,g,1
ülikoolist,balalaureusetöö,n,1
ülikoolist,võistlustöö,g,1
põllumajandusülikoolist,magistritöö,g,1
põllumajandusülikoolist,diplomitöö,g,1
humanitaarinstituudist,diplomitöö,g,1
riigist,minemakihutamine,g,1
pühapäevast,suurslaalom,g,1
vihavaenlasest,fotograaf,all,1
pojast,kaevur,n,1
füüsikaõpetajast,taksojuht,n,1
seriaalist,kodu,n,1
telgist,kanuu,ter,1
võõrarmeest,vabanemine,tr,1
sõjaväest,vabanemine,n,1
koduperenaisest,abikaasa,g,1
metsaelanikust,meister,tr,1
plastikust,ravikindlustuskaart,n,1
eksamikorrast,kinnipidamine,all,1
raadioreklaamist,ajendatu,es,1
pakistanlasest,tööline,p,1
demokraadist,poeg,n,1
presidendipaarist,tähtsus,kom,1
mõrtsukast,mees,g,1
ravimimüügist,hiigeltulu,n,1
vargusest,ettevõte,n,1
liikmest,seadusandja,g,1
prantslasest,naine,n,1
majanduskasvust,kasu,g,1
soojast,toit,el,1
uneajastki,näputöö,g,1
tippdzhässist,osa,n,1
hunnikust,salat,el,1
kastmest,pool,n,1
miljonärist,playboy,n,1
olemasolnust,samm,n,1
ühiskonnast,sõidukulu,p,1
vajalikkusest,taust,ad,1
tantsujuhist,tütar,n,1
miniast,koorijuht,n,1
moest,rippumatus,n,1
aktsiisimaksust,kõrvalehoidmine,ad,1
kohast,hoidumine,n,1
parteiliidrist,president,n,1
sakslasest,koordinaator,n,1
ajast,ilmaennustus,n,1
võistlusest,osavõtmine,n,1
õhupüssist,laskmine,all,1
maist,teekond,p,1
rahvusest,barokkmuusik,p,1
ametist,pantvang,in,1
seisuveekogust,veevõtt,g,1
eestimaalasest,pool,n,1
aujärjepärijast,vaarao,tr,1
liiklusohutusalast,teave,p,1
enamikust,kari,el,1
hinnast,latt,in,1
poolakast,peatreener,n,1
kodust,tulek,tr,1
naturalismist,läbiimbunu,n,1
miljonilisest,kahju,el,1
toiduainetööstusest,käive,kom,1
tubakast,loobuja,g,1
gurust,isa,n,1
alkohoolikust,isa,kom,1
pahest,tudengipõlv,in,1
arvutifriigist,müüja,n,1
puuplangust,iste,n,1
sotsiaalkindlustusest,kroon,p,1
keskliidust,lahkumine,p,1
meistrist,kardisõitja,n,1
hollandlasest,sõdur,n,1
allikast,oja,ter,1
eksiilist,naasmine,tr,1
isast,direktor,n,1
agentuurist,möödaminemine,p,1
tallinlasest,eramaa,g,1
humanitaariast,täppisteadus,ter,1
inimsööjast,professor,n,1
